DOLA Tax Entity Name:,Tax Entity ID:,Certifying County:,2026 Budget Year Total Levy (2025 Tax Year),2026 Budget Year Net Assessed Value (2025 Tax Year)
Sterling Ranch Colorado Metropolitan District No. 5,66466/1,Douglas,95.522,0
Sterling Ranch Colorado Metropolitan District No. 6,66467/1,Douglas,95.522,0
Sterling Ranch Colorado Metropolitan District No. 7,66468/1,Douglas,5.53,15177870
Sterling Ranch Colorado Metropolitan District No. 7 - Bond Debt (4659),66468/2,Douglas,0,1710210
Sterling Ranch Colorado Metropolitan District No. 7 Subdistrict-A,67451/1,Douglas,10.264,7312740
Sterling Ranch Colorado Metropolitan District No. 7 Subdistrict-B,67464/1,Douglas,37.592,6003010
Sterling Ranch Colorado Metropolitan District No. 7 Subdistrict-C,67948/1,Douglas,35,0
Sterling Ranch Colorado Metropolitan District No. 7 Subdistrict-D,68180/1,Douglas,35,0
Sterling Ranch Colorado Metropolitan District No. 7 Subdistrict-E,68181/1,Douglas,37.591,5800
Sterling Ranch Metropolitan District No. 1,66324/1,El Paso,48.86,479120
Sterling Ranch Metropolitan District No. 2,66325/1,El Paso,60.38,24402200
Sterling Ranch Metropolitan District No. 3,66326/1,El Paso,64.443,162530
Sterling Ranch Metropolitan District No. 4,67926/1,El Paso,0,7070
Sterling Ranch Metropolitan District No. 5,67927/1,El Paso,0,151690
Sterling Rural Fire Protection District,38018/1,Logan,5.623,162236208
Sterling Urban Renewal Authority,38020/1,Logan,0,0
Stetson Hills Special Improvement Maintenance District,21072/1,El Paso,3.858,132098510
Stetson Ridge Metropolitan District No. 1,21108/1,El Paso,0,860
Stetson Ridge Metropolitan District No. 2,21109/1,El Paso,15.716,55794800
Stetson Ridge Metropolitan District No. 3,65736/1,El Paso,34.255,19382980
Stone Canon Ranch Metropolitan District,65188/1,Douglas,24.491,2440500
Stone Creek Metropolitan District,66542/1,Douglas,44.386,16178800
Stone Ridge Metropolitan District No. 2,65007/1,Las Animas,0,2974132
Stone Ridge Metropolitan District No. 2 Subdistrict No. 1,67802/1,Las Animas,0,0
Stone Ridge Metropolitan District No. 2 Subdistrict No. 10,67811/1,Las Animas,0,0
Stone Ridge Metropolitan District No. 2 Subdistrict No. 2,67803/1,Las Animas,0,0
Stone Ridge Metropolitan District No. 2 Subdistrict No. 3,67804/1,Las Animas,0,0
Stone Ridge Metropolitan District No. 2 Subdistrict No. 4,67805/1,Las Animas,0,0
Stone Ridge Metropolitan District No. 2 Subdistrict No. 5,67806/1,Las Animas,0,0
Stone Ridge Metropolitan District No. 2 Subdistrict No. 6,67807/1,Las Animas,0,0
Stone Ridge Metropolitan District No. 2 Subdistrict No. 7,67808/1,Las Animas,0,0
Stone Ridge Metropolitan District No. 2 Subdistrict No. 8,67809/1,Las Animas,0,0
Stone Ridge Metropolitan District No. 2 Subdistrict No. 9,67810/1,Las Animas,0,0
Stonebridge Metropolitan District No. 1,68245/1,El Paso,0,0
Stonebridge Metropolitan District No. 2,68246/1,El Paso,0,0
Stonebridge Metropolitan District No. 3,68247/1,El Paso,0,0
Stonebridge Metropolitan District No. 4,68248/1,El Paso,0,0
Stonebridge Metropolitan District No. 5,68249/1,El Paso,0,0
Stonebridge Metropolitan District No. 6,68250/1,El Paso,0,0
Stonegate North Villages Metropolitan District,18042/1,Douglas,47,64005330
Stonegate North Villages Metropolitan District - Debt Service,18042/2,Douglas,24.775,702990
Stonegate Village Metropolitan District,18043/1,Douglas,0.655,127517920
Stoneridge Metropolitan District,65241/1,Weld,18.315,13190670
Stonewall Fire Protection District,36019/1,Las Animas,2.459,102506246
Stonington Cemetery District,05012/1,Baca,0.996,4003458
Strasburg 31J School District,64903/1,Adams,38.531,99022025
Strasburg 31J School District,64903/1,Arapahoe,38.531,45431058
Strasburg Fire Protection District No. 8,64134/1,Adams,12.614,68936710
Strasburg Fire Protection District No. 8,64134/1,Arapahoe,12.614,44484965
Strasburg Metropolitan Park & Recreation District,64135/1,Adams,5.01,85002550
Strasburg Metropolitan Park & Recreation District,64135/1,Arapahoe,5.01,33938048
Strasburg Sanitation and Water District,64136/1,Adams,4,11513750
Strasburg Sanitation and Water District,64136/1,Arapahoe,3.77,5154189
Stratmoor Hills Fire Protection District,21043/1,El Paso,22.975,94129190
Stratmoor Hills Sanitation District,21044/1,El Paso,0,84249860
Stratmoor Hills Water District,21045/1,El Paso,0,88282270
Stratton,32020/1,Kit Carson,20.8,5242420
Stratton Cemetery District,32017/1,Kit Carson,0.243,30863429
Stratton Fire Protection District,32018/1,Kit Carson,2.275,34622750
Stratton R-4 School District,32902/1,Kit Carson,34.579,32167744
Subdistrict No. 1 of the Coalton Metropolitan District,67357/1,Boulder,20,3989757
Subdistrict No. 1 of the Tower Center Metropolitan District,68155/1,Eagle,50,184360
Suburban Metropolitan District,03075/1,Arapahoe,0.399,178146714
Sugar City,13007/1,Crowley,13.856,1149188
Sugar Creek Metropolitan District No. 1,68251/1,Larimer,0,0
Sugar Creek Metropolitan District No. 2,68252/1,Larimer,0,0
Sugar Creek Metropolitan District No. 3,68253/1,Larimer,0,0
Sugar Creek Metropolitan District No. 4,68254/1,Larimer,0,0
Sugar Creek Metropolitan District No. 5,68255/1,Larimer,0,0
Sugar Creek Metropolitan District No. 6,68256/1,Larimer,0,0
Sugar Loaf Fire Protection District,07050/1,Boulder,10.972,39919803
Summerfield Metropolitan District No. 1,66416/1,Weld,53.74,160
Summerfield Metropolitan District No. 2,66417/1,Weld,50.409,23703760
Summerfield Metropolitan District No. 3,66418/1,Weld,20,359910
Summerfield North Metropolitan District,67593/1,Weld,60,583340
Summerfield South Metropolitan District No. 1,68227/1,Weld,0,0
Summerfield South Metropolitan District No. 2,68228/1,Weld,0,0
Summerfield South Metropolitan District No. 3,68229/1,Weld,0,0
Summerfield South Metropolitan District No. 4,68230/1,Weld,0,0
Summerfield South Metropolitan District No. 5,68231/1,Weld,0,0
Summit Combined Housing Authority,66880/1,Summit,0,0
Summit County,59021/1,Summit,19.274,3562515215
Summit Fire & EMS Fire Protection District,59041/1,Summit,14.59,1845171695
Summit Park Metropolitan District,65179/1,Elbert,35,4697610
Summit RE-1 School District,59901/1,Summit,15.343,3878885495
Sun Country Meadows Public Improvement District,66839/1,Elbert,10.664,17746880
Sun Valley Denver General Improvement District,67735/1,Denver,6,20300
Sundance Hills Metropolitan District,03076/1,Arapahoe,26.875,25750320
Sundance at Daubert Farm Metropolitan District,65903/1,Larimer,0,18943
Sundance/Farraday Subdistrict No. 1 of the La Plata Archuleta Water District,66781/1,La Plata,13.92,2412130
Sundown Oaks Metropolitan District,68238/1,Douglas,0,0
Sunlight Metropolitan District,66762/1,Routt,32.868,12120630
Sunset Metropolitan District,21066/1,El Paso,0,745130
Sunset Metropolitan District No. 2,67642/1,El Paso,40,144500
Sunset Parks Metropolitan District,66046/1,Weld,71.093,8260310
Sunset Water District,35042/1,Larimer,0,7487936
Sunshine Fire Protection District,07039/1,Boulder,18.14,16574909
Superior,64183/1,Boulder,13.627,301935536
Superior,64183/1,Jefferson,13.627,21009
Superior Metropolitan District No. 2,07055/1,Boulder,0,0
Superior Metropolitan District No. 3,64233/1,Boulder,0,0
Superior Metropolitan District No. 3,64233/1,Jefferson,0,11937
Superior Urban Renewal Authority - Superior Town Center Urban Renewal Plan Area,64213/2,Boulder,0,53969
Superior/McCaslin Interchange Metropolitan District,07074/1,Boulder,21.47,30780652
Superior/McCaslin Interchange Metropolitan District - Exclusion,07074/2,Boulder,0,0
Swan's Nest Metropolitan District,59032/1,Summit,5,10997660
Sweetgrass Metropolitan District No. 1,65034/1,Weld,63.028,4467818
Sweetgrass Metropolitan District No. 2,65035/1,Weld,63.244,13996600
Sweetgrass Metropolitan District No. 3,65036/1,Weld,20,2311714
Swink,45015/1,Otero,39.317,3471319
Swink 33 School District,45905/1,Otero,36.586,21450225
Swink Metropolitan District,68020/1,Adams,0,11960
Sylvan Cemetery District,42021/1,Montezuma,0.007,133139050
Sylvan Lakes Metropolitan District,33007/1,Lake,8.992,2891571
TBC Metropolitan District,66881/1,Adams,12.574,19926400
TR Ranch Metropolitan District,65299/1,Adams,0,171550
Tabernash Meadows Water and Sanitation District,25033/1,Grand,29.876,18800850
Tabernash Meadows Water and Sanitation District - Bond,25033/2,Grand,0,0
Table Mountain Metropolitan District,66431/1,Jefferson,41.745,14755118
Tablerock Metropolitan District,65112/1,Jefferson,22.18,19588544
Taft Ridge Metropolitan District No. 1,67971/1,Larimer,0,3926
Taft Ridge Metropolitan District No. 2,67972/1,Larimer,0,1031
Taft Ridge Metropolitan District No. 3,67973/1,Larimer,0,2681
Taft Ridge Metropolitan District No. 4,67974/1,Larimer,0,130
Tailholt Metropolitan District No. 1,65700/1,Weld,0,0
Tailholt Metropolitan District No. 1,66648/1,Weld,63.68,71720
Tailholt Metropolitan District No. 2,65701/1,Weld,0,0
Tailholt Metropolitan District No. 2,66649/1,Weld,15,265040
Tailholt Metropolitan District No. 3,65702/1,Weld,0,0
Tailholt Metropolitan District No. 3,66650/1,Weld,63.68,14229360
Takoda Metropolitan District,66076/1,Boulder,43.645,20101314
Tallahassee Fire Protection District,66738/1,Fremont,10.096,29849866
Tallgrass Metropolitan District,65093/1,Arapahoe,25.512,33646904
Tallgrass Metropolitan District - Bonds Only,65093/2,Arapahoe,24.012,3929061
Tallman Gulch Metropolitan District,65645/1,Douglas,54.837,11358130
Tallyn's Reach Metropolitan District No. 1,03154/1,Arapahoe,0,0
Tallyn's Reach Metropolitan District No. 2,03155/1,Arapahoe,5.984,24442130
Tallyn's Reach Metropolitan District No. 3,03156/1,Arapahoe,41.458,80528323
Talon Pointe Coordinating Metropolitan District,66476/1,Adams,0,270
Talon Pointe Metropolitan District,65738/1,Adams,99.003,13716220
Tamarron Metropolitan District,65169/1,La Plata,57.501,36083990
Tamarron Metropolitan District - L & M Subdistrict,67670/1,La Plata,0,0
Teller County,60010/1,Teller,14.653,911639192
Teller County Water & Sanitation District No. 1,60011/1,Teller,0,8615700
Telluride,57014/1,San Miguel,5.188,550236181
Telluride Fire Protection District,57013/1,San Miguel,8.151,1496534809
Telluride Hospital District,57002/1,San Miguel,5.563,1496534809
Telluride R-1 School District,57900/1,Dolores,12.432,11719456
Telluride R-1 School District,57900/1,San Miguel,12.456,1626552678
Temporary HS Safety Net,07003/12,Boulder,0.9,11631881772
Third Creek Metropolitan District No. 1,67351/1,Adams,71.246,70840
Third Creek Metropolitan District No. 2,67352/1,Adams,71.245,1575510
Third Creek Metropolitan District No. 3,67353/1,Adams,71.241,1170
Thompson Crossing Metropolitan District No. 1,65010/1,Larimer,0,135
Thompson Crossing Metropolitan District No. 2,65011/1,Larimer,17.407,117959378
Thompson Crossing Metropolitan District No. 2 - Bond,65011/2,Larimer,3.039,32579627
Thompson Crossing Metropolitan District No. 3,65012/1,Larimer,90.518,1161
Thompson Crossing Metropolitan District No. 4,65588/1,Larimer,95.962,37339770
Thompson Crossing Metropolitan District No. 5,65589/1,Larimer,79.496,1622969
Thompson Crossing Metropolitan District No. 6,65590/1,Larimer,71.657,6547191
Thompson R-2J School District,64932/1,Boulder,44.836,7442539
Thompson R-2J School District,64932/1,Larimer,44.836,3603639713
Thompson R-2J School District,64932/1,Weld,44.836,62353370
Thompson Rivers Park and Recreation District,62104/1,Larimer,3.594,15311720
Thompson Rivers Park and Recreation District,62104/1,Weld,3.594,1151238290
Thompson Valley Health Services District,35043/1,Larimer,1.745,3343443144
Thornton,64264/1,Adams,10.21,2303839818
Thornton 136th Avenue General Improvement District,01081/1,Adams,15,16825510
Thornton Development Authority,01030/1,Adams,0,0
Thornton Development Authority - East 144th Avenue Urban Renewal Plan Area,01030/3,Adams,0,0
Thornton Development Authority - North Washington,01030/2,Adams,0,0
Thornton Development Authority - South Thornton Urban Renewal Plan Area,01030/4,Adams,0,0
Three Hills Metropolitan District,65436/1,Jefferson,71.772,6393416
Three Lakes Water & Sanitation District,25021/1,Grand,0.927,313225380
Three Lakes Water & Sanitation District - Bond,25021/2,Grand,0,0
Three Springs Metropolitan District #1,65565/1,La Plata,60.923,26110640
Three Springs Metropolitan District #2,65566/1,La Plata,52.15,113800
Three Springs Metropolitan District #3,65567/1,La Plata,0,31640
Three Springs Metropolitan District No. 4,66675/1,La Plata,53.703,3664230
ThunderVillage Metropolitan District,66114/1,Pueblo,4.082,4534934
Thunderbird Water & Sanitation District,18033/1,Douglas,23.191,11460510
Timber Creek Water District,66178/1,Summit,4.172,10638110
Timber Springs Metropolitan District,66529/1,Eagle,0,3214220
Timberleaf Metropolitan District,65943/1,Adams,73.776,10285470
Timberline Fire Protection District,64075/1,Boulder,9.359,26283326
Timberline Fire Protection District,64075/1,Gilpin,9.359,170656480
Timbers Estates Metropolitan District,30107/1,Jefferson,35.294,3399924
Timbers Metropolitan District,66777/1,Douglas,35,18476500
Timbers Preserve Water & Sanitation District - Sewer Subdistrict,54024/3,Routt,17.754,4554050
Timbers Preserve Water & Sanitation District - Water Subdistrict,54024/4,Routt,16.148,6485340
Timbers Water & San - Bond,54024/2,Routt,0,0
Timbers Water & Sanitation District,54024/1,Routt,0,0
Timnath,35044/1,Larimer,6.688,115674341
Timnath,35044/1,Weld,6.688,139290
Timnath Development Authority,65364/1,Larimer,0,3659899
Timnath Lakes Metropolitan District No. 1,65585/1,Larimer,57.118,208783
Timnath Lakes Metropolitan District No. 2,65586/1,Larimer,26.851,40276
Timnath Lakes Metropolitan District No. 3,65587/1,Larimer,56.005,8188139
Timnath Lakes Metropolitan District No. 4,67308/1,Larimer,53.522,18
Timnath Lakes Metropolitan District No. 5,67309/1,Larimer,13.356,411
Timnath Lakes Metropolitan District No. 6,67310/1,Larimer,0,111
Timnath Ranch Metropolitan District No. 1,65929/1,Larimer,45.101,222111
Timnath Ranch Metropolitan District No. 2,65930/1,Larimer,57.075,779059
Timnath Ranch Metropolitan District No. 3,65931/1,Larimer,36.21,58616
Timnath Ranch Metropolitan District No. 4,65932/1,Larimer,24.861,71129
Todd Creek Village Metropolitan District,01062/1,Adams,0,6160
Todd Creek Village Park and Recreation District,65091/1,Adams,7,61722600
Tollgate Creek Commons Metropolitan District No. 1,65796/1,Arapahoe,0,0
Tollgate Creek Commons Metropolitan District No. 2,65797/1,Arapahoe,0,0
Tollgate Crossing Metropolitan District No. 2,65070/1,Arapahoe,52.06,49957888
Tower Business Improvement District,67463/1,Adams,2.5,75395050
Tower Center Metropolitan District,66144/1,Eagle,50,346230
Tower Metropolitan District,01027/1,Adams,22.5,366601360
Town Center Metropolitan District,16012/1,Denver,0,0
Town Center Metropolitan District Subdistrict No. 1,16012/2,Denver,53,9009380
Town Center Metropolitan District Subdistrict No. 2,16012/3,Denver,50,15830170
Town Center Metropolitan District Subdistrict No. 3,16012/4,Denver,59,8477170
Town Center Metropolitan District Subdistrict No. 4,16012/5,Denver,53,5480570
Town Center Metropolitan District Subdistrict No. 5,16012/6,Denver,53,9010970
Town of Avon General Improvement District No. 1,66135/1,Eagle,15.64,4631690
Town of Castle Rock Festival Park Commons General Improvement District,66949/1,Douglas,45,6335858
Town of Erie Urban Renewal Authority,66333/1,Weld,0,9290
Town of Erie Urban Renewal Authority - Erie Gateway Phase 1 Urban Renewal Plan Area,66333/6,Boulder,0,0
Town of Erie Urban Renewal Authority - Erie Gateway Phase 1 Urban Renewal Plan Area,66333/6,Weld,0,1317270
Town of Erie Urban Renewal Authority - Four Corners Urban Renewal Plan Area,66333/4,Boulder,0,123233
Town of Erie Urban Renewal Authority - Highway 287 Urban Renewal Plan Area,66333/5,Boulder,0,491032
Town of Erie Urban Renewal Authority - Historic Old Town Erie Urban Renewal Plan Area,66333/3,Weld,0,27948030
Town of Erie Urban Renewal Authority - Town Center Urban Renewal Plan Area,66333/7,Boulder,0,0
Town of Erie Urban Renewal Authority - Town Center Urban Renewal Plan Area,66333/7,Weld,0,0
Town of Erie Urban Renewal Authority - Urban Renewal Plan Area 4 (Daybreak Area),66333/2,Weld,0,2519486
Town of Lyons Urban Renewal Authority,66588/1,Boulder,0,15308887
Town of Mead Elevation 25 General Improvement District,67821/1,Weld,5,9292610
Town of Mead Highway 66 and I-25 General Improvement District,68067/1,Weld,7,2227890
Town of Mead Urban Renewal Authority,66651/1,Weld,0,40870379
"Town of Minturn General Improvement District, Town of Minturn, County of Eagle, Colorado",66126/1,Eagle,0,0
Town of Parker My Mainstreet General Improvement District,67784/1,Douglas,0,763688
Town of Timnath - Timnath Landing General Improvement District,67159/1,Larimer,15,8475604
Towner Cemetery District,31009/1,Kiowa,0.322,6101113
Towner Recreation District,31010/1,Kiowa,0.515,6101113
Traditions Metropolitan District,65234/1,Arapahoe,24.687,35161903
Traer Creek Metropolitan District,19060/1,Eagle,16.111,57390
TrailMark Metropolitan District,30130/1,Jefferson,2.072,48327886
Trails Metropolitan District,67277/1,Douglas,68.096,6429030
Trails Park and Recreation District,03087/1,Arapahoe,6.14,889002537
Trails at Crowfoot Metropolitan District No. 1,66686/1,Douglas,88,10212010
Trails at Crowfoot Metropolitan District No. 2,66687/1,Douglas,88.026,17282440
Trails at Crowfoot Metropolitan District No. 3,66688/1,Douglas,85.805,12084820
Trailside Metropolitan District No. 1,66915/1,Larimer,0,345
Trailside Metropolitan District No. 2,66916/1,Larimer,57.291,7953215
Trailside Metropolitan District No. 3,66917/1,Larimer,57.531,7054030
Trailside Metropolitan District No. 4,66918/1,Larimer,57.306,6097100
Trailside Metropolitan District No. 5,66919/1,Larimer,18.259,3065
Trailside Metropolitan District No. 6,67782/1,Larimer,44.647,3628298
TransPort Metropolitan District No. 1,65884/1,Adams,50,10
TransPort Metropolitan District No. 10,65893/1,Adams,0,40
TransPort Metropolitan District No. 11,65894/1,Adams,0,40
TransPort Metropolitan District No. 12,65895/1,Adams,0,40
TransPort Metropolitan District No. 13,65896/1,Adams,0,40
TransPort Metropolitan District No. 14,65897/1,Adams,0,40
TransPort Metropolitan District No. 15,65898/1,Adams,0,40
TransPort Metropolitan District No. 2,65885/1,Adams,70.338,16907830
TransPort Metropolitan District No. 3,65886/1,Adams,51,27150
TransPort Metropolitan District No. 4,65887/1,Adams,54.84,219480
TransPort Metropolitan District No. 5,65888/1,Adams,50,10530
TransPort Metropolitan District No. 6,65889/1,Adams,0,40
TransPort Metropolitan District No. 7,65890/1,Adams,0,40
TransPort Metropolitan District No. 8,65891/1,Adams,0,40
TransPort Metropolitan District No. 9,65892/1,Adams,0,40
Travelers Highland Public Improvement District,66192/1,Garfield,44.809,878050
Tree Farm Metropolitan District,66975/1,Eagle,49.706,15689120
Tree Haus Metropolitan District,54025/1,Routt,19.113,14873630
Trevenna Metropolitan District,67737/1,Weld,40.3,145460
Tri County Fire Protection District,64195/1,El Paso,6.019,34972760
Tri County Fire Protection District,64195/1,Elbert,6.019,1125060
Tri County Fire Protection District,64195/1,Lincoln,6.019,14616331
Tri-County Water Conservancy District,64138/1,Delta,1.55,188745970
Tri-County Water Conservancy District,64138/1,Montrose,1.55,893925817
Tri-County Water Conservancy District,64138/1,Ouray,1.55,262234790
Tri-Lakes Monument Fire Protection District,21047/1,El Paso,18.4,1045263800
Tri-Pointe Commercial Metropolitan District,62114/1,Weld,44.604,10030530
Tri-Pointe Residential Metropolitan District,62115/1,Weld,56.073,22499820
Triangle Logistics Center Commercial Metropolitan District,67499/1,Adams,0,93230
Trinchera Water Conservancy District,12010/1,Costilla,0.463,96255194
Trinidad,36011/1,Las Animas,17.579,98870658
Trinidad 1 School District,36900/1,Las Animas,20.641,181068035
Trinidad Ambulance District,36017/1,Las Animas,2.907,405278982
Trinidad Urban Renewal Authority,66637/1,Las Animas,0,50625556
Triple Creek Metropolitan District No. 1,66987/1,Weld,50,20074760
Triple Creek Metropolitan District No. 2,66988/1,Weld,50,15560
Triple H Ranch Metropolitan District No. 1,68265/1,El Paso,0,0
Triple H Ranch Metropolitan District No. 2,68266/1,El Paso,0,0
Triple H Ranch Metropolitan District No. 3,68267/1,El Paso,0,0
Triveni Square Metropolitan District No. 1,67777/1,Summit,0,534380
Triveni Square Metropolitan District No. 2,67778/1,Summit,10,1339920
Triveni Square Metropolitan District No. 3,67779/1,Summit,0,44900
Triveni Square Metropolitan District No. 4,67780/1,Summit,0,44900
Triview Metropolitan District,21061/1,El Paso,20.5,201228920
Triview Metropolitan District No. 2,65730/1,El Paso,8.5,13004630
Triview Metropolitan District No. 3,65731/1,El Paso,69.261,6014690
Triview Metropolitan District No. 4,65921/1,El Paso,6.5,37138770
Triview Metropolitan District Subdistrict A,67389/1,El Paso,0,15098650
Triview Metropolitan District Subdistrict B,67390/1,El Paso,0,0
Trolley Station Metropolitan District,66717/1,Adams,0,0
TrueNorth Commons Business Improvement District,67077/1,El Paso,60,0
Turion Metropolitan District No. 1,65330/1,Weld,69.468,190
Turion Metropolitan District No. 2,65331/1,Weld,64.857,10711350
Turion Metropolitan District No. 3,65332/1,Weld,60.895,8020
Turion Metropolitan District No. 4,65333/1,Weld,52.625,10
Turion Metropolitan District No. 5,65334/1,Weld,56.466,10
Turion Metropolitan District No. 6,65335/1,Weld,56.466,10
Turion South Metropolitan District No. 1,67692/1,Weld,0,30
Turion South Metropolitan District No. 10,67701/1,Weld,0,20
Turion South Metropolitan District No. 2,67693/1,Weld,0,30
Turion South Metropolitan District No. 3,67694/1,Weld,0,30
Turion South Metropolitan District No. 4,67695/1,Weld,0,30
Turion South Metropolitan District No. 5,67696/1,Weld,0,30
Turion South Metropolitan District No. 6,67697/1,Weld,0,30
Turion South Metropolitan District No. 7,67698/1,Weld,0,30
Turion South Metropolitan District No. 8,67699/1,Weld,0,30
Turion South Metropolitan District No. 9,67700/1,Weld,0,30
Turkey Canon Ranch Water District,21099/1,El Paso,9.5,3500830
Turkey Creek Conservation District,51024/1,Pueblo,0,41024804
Tuscan Foothills Village Metropolitan District,66775/1,El Paso,51.996,3469150
Tuscany Plaza Metropolitan District,66198/1,El Paso,36.5,4652090
Tv Translator,06001/9,Bent,0,0
Tv Translator,15006/8,Delta,0,0
Tv Translator,38008/7,Logan,0.2,412627526
Tv Translator,39023/11,Mesa,0.028,3011181665
Tv Translator,43001/11,Montrose,0,0
Tv Translator,49010/7,Pitkin,0.236,5544208430
Tv Translator,54012/7,Routt,0,0
Tv Translator,61008/9,Washington,0.25,189946890
Twin Buttes Metropolitan District No. 1,66423/1,La Plata,0,160310
Twin Buttes Metropolitan District No. 2,66424/1,La Plata,55,13134980
Twin Buttes Metropolitan District No. 3,66425/1,La Plata,70,494160
Twin Buttes Metropolitan District No. 4,66426/1,La Plata,114.334,1341870
Twin Mesa Metropolitan District,68053/1,Douglas,7.5,8726100
Twin Peaks Metropolitan District,66386/1,Boulder,50,9506052
Twining Flats Road Improvement District,49029/1,Pitkin,5.769,5335760
Two Bridges Metropolitan District,66197/1,Douglas,74.057,4435240
Two Buttes,05016/1,Baca,7.971,334281
Two Buttes Cemetery District,05013/1,Baca,1.089,3296840
Two Buttes Fire Protection District,64139/1,Baca,1.494,5497117
Two Buttes Fire Protection District,64139/1,Prowers,1.502,1940499
Two Buttes Metropolitan Recreation & Park District,05014/1,Baca,3.244,3296840
Two Rivers Marketplace Metropolitan District,67760/1,Weld,50,55920
Two Rivers Metropolitan District,19059/1,Eagle,20,10301180
Uncompahgre Valley Pest Control District,43015/1,Montrose,0,0
Union Colony West Metropolitan District No. 1,68057/1,Weld,50,30
Union Colony West Metropolitan District No. 2,68058/1,Weld,50,298720
Union Colony West Metropolitan District No. 3,68059/1,Weld,50,283150
Union Colony West Metropolitan District No. 4,68060/1,Weld,50,827410
Union Colony West Metropolitan District No. 5,68061/1,Weld,50,338570
Union Colony West Metropolitan District No. 6,68062/1,Weld,50,35140
Union Colony West Metropolitan District No. 7,68063/1,Weld,25,28260
Union Colony West Metropolitan District No. 8,68064/1,Weld,50,27490
United Water & Sanitation District,65107/1,Elbert,65.455,1410
University Hills General Improvement District,07041/1,Boulder,1.472,28574559
Uplands Metropolitan District No. 1,67714/1,Adams,46.184,4349000
Uplands Metropolitan District No. 2,67715/1,Adams,24.703,1950
Upper Arkansas Conservation District,64140/1,Lake,0,0
Upper Arkansas Water Conservancy District,64141/1,Chaffee,0.372,911879410
Upper Arkansas Water Conservancy District,64141/1,Custer,0.372,177592955
Upper Arkansas Water Conservancy District,64141/1,El Paso,0.372,10322790
Upper Arkansas Water Conservancy District,64141/1,Fremont,0.372,719719165
Upper Arkansas Water Conservancy District,64141/1,Saguache,0.372,616370
Upper Bear Creek Water & Sanitation District,64142/1,Clear Creek,0,0
Upper Big Sandy Groundwater Management District,64163/1,El Paso,0.532,32144330
Upper Big Sandy Groundwater Management District,64163/1,Elbert,0.532,40216152
Upper Big Sandy Groundwater Management District,64163/1,Lincoln,0.532,51831905
Upper Black Squirrel Creek Groundwater Management District,21048/1,El Paso,1.082,640354590
Upper Blue Sanitation District,59003/1,Summit,0,1377112190
Upper Cottonwood Creek Metropolitan District,65083/1,El Paso,25.471,29114920
Upper Cottonwood Creek Metropolitan District No. 2,65551/1,El Paso,50.942,33262700
Upper Cottonwood Creek Metropolitan District No. 3,65552/1,El Paso,63.655,53107480
Upper Cottonwood Creek Metropolitan District No. 4,65553/1,El Paso,61.77,41538830
Upper Cottonwood Creek Metropolitan District No. 5,65554/1,El Paso,77.056,6485700
Upper Crow Creek Ground Water Management District,67356/1,Weld,1.876,84424660
Upper Grand Valley Pest Control District,39042/1,Mesa,0.091,267469660
Upper Gunnison River Water Conservancy District,64143/1,Gunnison,1.951,1075197480
Upper Gunnison River Water Conservancy District,64143/1,Hinsdale,1.951,62066660
Upper Gunnison River Water Conservancy District,64143/1,Saguache,1.951,6975636
Upper Huerfano Conservation District,64172/1,Huerfano,0.5,117099801
Upper Huerfano Conservation District,64172/1,Las Animas,0.5,2257560
Upper Huerfano Fire Protection District,28016/1,Huerfano,7.133,21551378
Upper Pine River Fire Protection District,34027/1,Archuleta,15.401,832860
Upper Pine River Fire Protection District,34027/1,La Plata,15.129,294027760
Upper San Juan Health Service District,64144/1,Archuleta,3.897,583672826
Upper San Juan Health Service District,64144/1,Hinsdale,3.884,5011170
Upper San Juan Health Service District,64144/1,Mineral,3.884,5827772
Upper San Juan Library District,04009/1,Archuleta,1.507,608213186
Upper South Platte Water Conservancy,64145/1,Clear Creek,0.108,149860
Upper South Platte Water Conservancy,64145/1,Douglas,0.108,19144810
Upper South Platte Water Conservancy,64145/1,Jefferson,0.108,195031902
Upper South Platte Water Conservancy,64145/1,Park,0.108,855946449
Upper South Platte Water Conservancy,64145/1,Teller,0.108,255622540
Upper Thompson Sanitation District,35045/1,Larimer,0,319204720
Upper Yampa Water Conservancy District,64146/1,Moffat,1.82,170215386
Upper Yampa Water Conservancy District,64146/1,Routt,1.82,2230906820
Urban Drainage & Flood Control District,64147/1,Adams,0.9,13151234791
Urban Drainage & Flood Control District,64147/1,Arapahoe,0.9,16031622242
Urban Drainage & Flood Control District,64147/1,Boulder,0.9,8437325186
Urban Drainage & Flood Control District,64147/1,Broomfield,0.9,1983223510
Urban Drainage & Flood Control District,64147/1,Denver,0.9,25445395933
Urban Drainage & Flood Control District,64147/1,Douglas,0.9,7822808359
Urban Drainage & Flood Control District,64147/1,Jefferson,0.9,12588966886
"Urban Drainage & Flood, South Platte Levy",64174/1,Adams,0.1,13151234791
"Urban Drainage & Flood, South Platte Levy",64174/1,Arapahoe,0.1,16031622242
"Urban Drainage & Flood, South Platte Levy",64174/1,Denver,0.1,25445395933
"Urban Drainage & Flood, South Platte Levy",64174/1,Douglas,0.1,7822808359
"Urban Drainage & Flood, South Platte Levy",64174/1,Jefferson,0.1,12588966886
Urban Renewal Authority of Dacono,66594/1,Weld,0,35249518
